테마	제목	가사
사랑	분홍길 (Feat. 덕스훈트)	"창문 틈 사이로
아침햇살이 쏟아져
마치 천국에 온 것처럼
햇살이 쏟아져
잠에서 깨어나도
감은 눈을 뜨긴 싫어
마치 구름 위에 떠 있는듯해
새까만 밤하늘 사이로
별빛이 쏟아져
별빛 위를 걷는 기분이야
조금 더 가까이
가면 닿을 것만 같아
울적했던 기분 좋아져
다시 또 나는 눈을 감아
다시 꿈속으로 들어가
향긋한 바람 냄새가
내게로 흔들리는
나뭇잎이 손 흔들며
나와 인사해
푸르르르르 스르르르르
분홍색 꽃잎이
내 눈 앞에 떨어져
화려한 분홍 길을
만들어서 내게 보여줘
분홍색 물감을 뿌려
분홍색 물감을 뿌려
햇살에 비치는 우리는
다시 꿈속으로 들어가
향긋한 바람 냄새가
내게로 흔들리는
나뭇잎이 손 흔들며
나와 인사해
푸르르르르 스르르르르
겨울이 다 가고
돌아왔어 봄이
벚꽃 길이 보여 분홍 꽃이
다들 가는 곳이
나에겐 도저히
흔한 길이 아냐
작게 고이 접힌 쪽지
그 안에 낙서되어있는 작은 하트
모양에 아직 까지
색칠하지 않은 마음
너란 크레파스처럼
순수한 아이가 채워주지
이렇게 넌 나에게는 다야
이렇게 내 마음이 들뜨는 날이
흔치 않아 다신 오지 않을 것 같이
너무나 행복해
It's beautiful day
오늘은 일찍 가지 않게
핑계를 지어내 uh
매일 낮과 밤이
바뀌지만 너는 역시
시간과 장소에
구애 받지 않는 여신
일하는 곳이 멀어 보고 싶을 땐
짧은 통화 한번에
난 하루 종일 힘을 내요 girl
달빛 옥상으로 올라가
시원해진 마룻바닥에
내게로 밤하늘이
웃음 짓고 나를 반기며
나와 인사해
푸르르르르 스르르르르
달빛옥상으로 올라가
시원해진 마룻바닥에
내게로 밤하늘이
웃음 짓고 나를 반기며
나와 인사해
푸르르르르 스르르르르
달빛옥상으로 올라가
시원해진 마룻바닥에
내게로 밤하늘이
웃음 짓고 나를 반기며
나와 인사해
푸르르르르 스르르르르"
사랑	3호차 (Feat. 덕스훈트)	"첫 기차 타려고
새벽녘부터 나와 앉아서
아무 생각 없이
내 발걸음을 따라가
또 나에게 사랑이 혹시나
다시 또 내 사랑이 시작되려나
기차는 왜 이렇게 빨리
굴러만 가는 건지
시간은 왜 이렇게 빨리
흘러만 가는 건지
3호차 8B번에
앉아 있는 널 그때 처음 봤지
그 옆 좌석에 아무도 없어
나도 모르게
앉아 버렸어 앉아 버렸어
나도 모르게 앉아 버렸어
앉아 버렸어 앉아 버렸어
너 때문에 가는 내내
기차는 왜 이렇게 빨리
굴러만 가는 건지
시간은 왜 이렇게 빨리
흘러만 가는 건지
안녕 hello
이름은 모르지만
내가 하필이면 타 버린 칸에
니가 있어
나로 말하자면 원래 완전 힙합
아님 노래 듣지도 않는 래퍼
래퍼이지만 지금 이 곡만큼은
그렇게 하지 못해
누가 이 곡만 들으면
날 아마도 사랑 노래 하나로
대표하려는 놈으로 볼지도 몰라
아 몰라
창문 밖을 보고 있는 너의 모습
날 멈추게 했어 hoo
그래 자리 배치 받은 곳을
보니까 니 옆자리였어 uh
이건 분명히 기회일 거야
이걸 놓치면 평생 후회할 거야
그래 이번엔 다를 거야
내 미숙했던 모습관
전혀 다른 기분으로
3호차에 올라타
또 나에게
사랑이 혹시나
다시 또 내
사랑이 시작되려나
기차는 왜 이렇게 빨리
굴러만 가는 건지
시간은 왜 이렇게 빨리
흘러만 가는 건지"
사랑	알고싶어 (Remastering Ver.)	"My Endless lover 
언제라도 네가 날 불러준다면 
고민 없이 바로 네 곁으로 
안아줄까 더 위험하게 
나도 장난칠까 하고 있어 
하루 종일 난 너 없이 
잘 버틸 수 있을까 생각해 
매일 네가 있어 밤하늘처럼 
매 순간 빛나는 
너를 바라볼 수가 있어서 
It's you 아침 햇살이 
비춰주는 special girl 
눈부신 네 모습에 나는 Whow 
꼭 숨이 멎을 것만 같아 
oh my love 널 알고 싶어 
하루 종일 난 너 없이 
잘 버틸 수 있을까 생각해 
매일 네가 있어 밤하늘처럼 
매 순간 빛나는 
너를 바라볼 수가 있어서 
It's you 아침 햇살이 
비춰주는 special girl 
눈부신 네 모습에 나는 Whow 
꼭 숨이 멎을 것만 같아 
oh my love 널 알고 싶어 
It's you 아침 햇살이
비춰주는 special girl
눈부신 네 모습에 나는 Whow
꼭 숨이 멎을 것만 같아
oh my love 널 알고 싶어
우리 둘이 이렇게
껴 안고 있을 때
hey baby don't worry
cause you're my only babe
나와 영원을 약속해
It's you 아침 햇살이
비춰주는 special girl
눈부신 네 모습에 나는 Whow
꼭 숨이 멎을 것만 같아
oh my love 널 알고 싶어
It's you 아침 햇살이
비춰주는 special girl
눈부신 네 모습에 나는 Whow
꼭 숨이 멎을 것만 같아
oh my love 널 알고 싶어
You're my babe
cause you're my girl
You're my lady
cause you're my love
You're my babe
cause you're my girl
oh my love 널 알고 싶어"
사랑	미쳤나봐 (Feat. 정성하)	"One of a kind girl
조심해 네 주위 남자들
다 너를 귀여워해
나를 비롯해 몇몇 사람들은 충격
너의 그 자체가 아무거나 해도
다 용서돼 부끄러 하지 마
손 하면 담길 듯
작은 얼굴에 다 들어있는
눈 코 입 빨개지는
볼은 포인트
못생겼다는 거짓말
그 말은 아무도 믿지 않아
널 설레이게 할 수 있는 게
대체 뭐야
미쳤나봐
네 생각이 또 났다
뒤에 나온 말
네가 매일 꿈에 나와
널 사랑한다고
미쳤나봐
나 뻔한 말이지 않아
빨주노초파남보
무지개색 빛을 줘 내게
거짓말처럼
시계만 보던 내 전화긴
자꾸 알림이 떠
이제 네 소식을
너에게 들을 수 있어
당기는 법을 알아 넌
잊지 않을게 재지 말란 말
너도 잘못은 있어
퍽 하면 웃다가
내 팔에 얼굴을 묻히면서
또 눈은 왜 이렇게도 예뻐
못생겼다는 거짓말
그 말은 절대로 믿지 않아
널 설레이게 할 수 있는 게
대체 뭐야
미쳤나봐
네 생각이 또 났다
뒤에 나온 말
네가 매일 꿈에 나와
널 사랑한다고
미쳤나봐
나 뻔한 말이지 않아
빨주노초파남보
무지개색 빛을 줘 내게
해 주고 싶은
얘기가 많아 나
네 생각 또 네 생각
네 생각에 난 하루를 살아
오늘이 지나면
못 할 말들인데
잠깐
미쳤나봐
미쳤나봐
미쳤나봐
미쳤나봐
미쳤나봐
네 생각이 또 났다
뒤에 나온 말
네가 매일 꿈에 나와
널 사랑한다고
미쳤나봐
나 뻔한 말이지 않아
빨주노초파남보
무지개색 빛을 줘 내게
미쳤나봐
미쳤나봐 난
미쳤나봐
미쳤나봐
미쳤나봐
나 뻔한 말이지 않아
빨주노초파남보
빨주노초파남보
빨주노초파남보
무지개색 빛을 줘 내게"
사랑	실례해도 될까요	"늦은 하룰 시작하는
나를 깨우는 커피 그 쓴맛
항상 그 자리에 앉아
무심한 시선 툭 하니 들어온 그대
저 테이블 위에 놓인 향이 궁금해져
무거운 눈꺼풀 지루한 일상에
들린 카페 in
저기 눈길이 향하는
사람과 첫눈에 빠질 상상 속에 설레
어떤 생각을 할까 마주친 표정 위로
뭘 좋아할까 나와 같은 마음일까
내가 먼저 더 다가 가볼까
그러다가 멀어질까
무슨 말이 좋을까
이런 말은 어떨까
그저 삼킨 말 실례해도 될까요 나
창문에 비친 화장기 없는 얼굴이
왠지 별로 같아 하필 이런 날에
푹 눌러쓴 모자에
늘어난 청바지 바랜 티셔츠
이상할까 봐 말을 건넨다면
불편할지 몰라
어떤 말이 좋을까 마주친 틈 사이로
뭘 좋아할까 이런 나도 괜찮을까
한 걸음만 더 다가 가볼까
그러다가 멀어질까
무슨 말을 건넬까
이런 말은 어떨까
그저 삼킨 말 실례해도 될까요 나
알 수 없는 이 시간 지나 그대로
스쳐 갈 사이 된다면
인연이 아닌 이대로
지나치는 수많은 거리 속에서
널 마주하긴 싫어
지금 이 순간 다 보이고 싶어
네 마음에 닿을 수 있게
날 좋아할까 나와 같은 마음일까
너와 내가 더 가까워져서
우리가 될 수 있을까
지금이 딱 좋을까
지금이 딱 좋을까
서로 건넨 말 실례해도 될까요 나
그날부터
실례하게 됐죠 우리"
이별	밤편지	"이 밤 그날의 반딧불을
당신의 창 가까이 보낼게요
음 사랑한다는 말이에요
나 우리의 첫 입맞춤을 떠올려
그럼 언제든 눈을 감고
음 가장 먼 곳으로 가요
난 파도가 머물던
모래 위에 적힌 글씨처럼
그대가 멀리 사라져 버릴 것 같아
늘 그리워 그리워
여기 내 마음속에
모든 말을 다 꺼내어 줄 순 없지만
사랑한다는 말이에요
어떻게 나에게
그대란 행운이 온 걸까
지금 우리 함께 있다면 아
얼마나 좋을까요
난 파도가 머물던
모래 위에 적힌 글씨처럼
그대가 멀리 사라져 버릴 것 같아
또 그리워 더 그리워
나의 일기장 안에
모든 말을 다 꺼내어 줄 순 없지만
사랑한다는 말
이 밤 그날의 반딧불을 당신의
창 가까이 띄울게요
음 좋은 꿈 이길 바라요"
이별	첫눈처럼 너에게 가겠다	"널 품기 전 알지 못했다
내 머문 세상 이토록 찬란한 것을
작은 숨결로 닿은 사람
겁 없이 나를 불러준 사랑
몹시도 좋았다
너를 지켜보고 설레고
우습게 질투도 했던
평범한 모든 순간들이
캄캄한 영원
그 오랜 기다림 속으로
햇살처럼 니가 내렸다
널 놓기 전 알지 못했다
내 머문 세상 이토록 쓸쓸한 것을
고운 꽃이 피고 진 이 곳
다시는 없을 너라는 계절
욕심이 생겼다
너와 함께 살고 늙어가
주름진 손을 맞잡고
내 삶은 따뜻했었다고
단 한번 축복
그 짧은 마주침이 지나
빗물처럼 너는 울었다
한번쯤은 행복하고 싶었던 바람
너까지 울게 만들었을까
모두 잊고 살아가라
내가 널 찾을 테니
니 숨결 다시 나를 부를 때
잊지 않겠다
너를 지켜보고 설레고
우습게 질투도 했던
니가 준 모든 순간들을
언젠가 만날
우리 가장 행복할 그날
첫눈처럼 내가 가겠다
너에게 내가 가겠다"
이별	어디에도	"차가워진 눈빛을 바라보며
이별의 말을 전해 들어요
아무 의미 없던 노래 가사가
아프게 귓가에 맴돌아요
다시 겨울이 시작되듯이
흩어지는 눈 사이로
그대 내 맘에 쌓여만 가네
떠나지 말라는
그런 말도 하지 못하고
고개를 떨구던 뒷모습만
그대 내게 오지 말아요
두 번 다시 이런 사랑 하지 마요
그댈 추억하기보단 기다리는 게
부서진 내 맘이 더 아파와
다시 누군가를 만나서
결국 우리 사랑 지워내도
행복했던 것만 기억에 남아
나를 천천히 잊어 주기를
아무것도 마음대로 안 돼요
아픔은 그저 나를 따라와
밤새도록 커져 버린 그리움
언제쯤 익숙해져 가나요
많은 날들이 떠오르네요
우리가 나눴던 날들
애써 감추고 돌아서네요
떠나지 말라는
그런 말도 하지 못하고
고개를 떨구던 뒷모습만
그대 내게 오지 말아요
두 번 다시 이런 사랑 하지 마요
그댈 추억하기보단 기다리는 게
부서진 내 맘이 더 아파와
다시 누군가를 만나서
결국 우리 사랑 지워내도
행복했던 것만 기억에 남아
나를 천천히 잊어 주기를
부를 수도 없이 멀어진 그대가
지나치는 바람에도 목이 메어와
어디에도 그대가 살아서
우린 사랑하면 안 돼요
다가갈수록 미워지니까
행복했던 것만 기억에 남아
나를 천천히 잊어 가기를
사랑했던"
이별	광화문에서 (At Gwanghwamun)	"넌 어땠는지 아직 여름이 남아
왠지 난 조금 지쳤던 하루
광화문 가로수 은행잎 물들 때
그제야 고갤 들었었나 봐
눈이 부시게 반짝이던 우리 둘은
이미 남이 되었잖아
네 품 안에서 세상이 내 것이었던
철없던 시절은 안녕
오늘 바보처럼 그 자리에 서 있는
거야
비가 내리면 흠뻑 젖으며
오지 않는 너를 기다려
나는 행복했어
그 손 잡고 걷던 기억에 또 뒤돌아
봐
네가 서 있을까 봐
난 모르겠어 세상 살아가는 게
늘 다른 누굴 찾는 일 인지
커피 향 가득한 이 길 찾아오며
그제야 조금 웃었던 나야
처음이었어 그토록 날 떨리게 한
사람은 너 뿐이잖아
누구보다 더 사랑스럽던 네가 왜
내게서 떠나갔는지
오늘 바보처럼 그 자리에 서 있는
거야
비가 내리면 흠뻑 젖으며
오지 않는 너를 기다려
나는 행복했어
그 손 잡고 걷던 기억에 또 뒤돌아
봐
네가 서 있을까 봐
그 자리에서 매일 알아가
조금씩 변해가는 내 모습은
먼 훗날엔 그저 웃어줘
난 행복해
오늘 여긴 그 때처럼 아름다우니
괜히 바보처럼 이 자리에 서 있는
거야
비가 내리면 흠뻑 젖으며
오지 않는 너를 기다려
나는 행복했어
광화문 이 길을 다시 한번 뒤돌아 봐
네가 서 있을까 봐"
이별	너였다면	"왜 너에겐 
그렇게 어려운지 
애를 쓰는 나를 
제대로 봐주는 게 
너 하나에 이토록 
아플 수 있음에 
놀라곤 해 
고단했던 하루 
나는 꿈을 꿔도 아파 
너였다면 어떨 것 같아 
이런 미친 날들이 
네 하루가 되면 말야 
너도 나만큼 혼자 
부서져 본다면 알게 될까 
가슴이 터질 듯 
날 가득 채운 통증과 
얼마나 너를 
원하고 있는지 
내가 너라면 
그냥 날 사랑할 텐데 
내 가슴은 한없이 바닥까지 
나를 둘러싸는 
모든 게 두려워져 
다 사랑에 빠지면 
행복한 거라니 
누가 그래 
뒷모습만 보는 
그런 사랑하는 내게 
너였다면 어떨 것 같아 
이런 미친 날들이 
네 하루가 되면 말야 
너도 나만큼 혼자 
부서져 본다면 알게 될까 
가슴이 터질 듯 
날 가득 채운 통증과 
얼마나 너를 원하고 있는지 
내가 너라면
그냥 날 사랑할텐데
이미 너는 내게
대답한 걸 알아 
대답 없는 대답의 의미
다 알면서도
난 모르는 척 맴도는데
요즘 나는 어떤 줄 아니 
편히 잠을 잘 수도
뭘 삼켜낼 수도 없어
널 바라보다 점점 망가져
가는 날 알긴 할까
죽을 것 같아도
넌 내게 올 리 없대도 
딴 곳만 보는
너란 걸 알아도
그런 너를 난
놓을 순 없을 것 같아"
이별	걱정말아요 그대	"그대여 아무 걱정 하지 말아요
우리 함께 노래 합시다
그대 아픈 기억들 모두 그대여
그대 가슴에 깊이 묻어 버리고 
지나간 것은 지나간 대로
그런 의미가 있죠
떠난 이에게 노래 하세요
후회없이 사랑했노라 말해요
그대는 너무 힘든 일이 많았죠
새로움을 잃어 버렸죠
그대 슬픈 얘기들 모두 그대여 
그대 탓으로 훌훌 털어 버리고
지나간 것은 지나간 대로
그런 의미가 있죠
우리 다 함께 노래 합시다
후회없이 꿈을 꾸었다 말해요
지나간 것은 지나간 대로
그런 의미가 있죠
우리 다 함께 노래 합시다
후회없이 꿈을 꾸었다 말해요
지나간 것은 지나간 대로
그런 의미가 있죠
우리 다 함께 노래 합시다
후회없이 꿈을 꾸었다 말해요
새로운 꿈을 꾸겠다 말해요"
