태마,곡명,가사
힐링,새벽활동,"오늘은 꼭 어디로든 가고 싶었는데
길을 잃을까 두려워 맘을 접었네
결국 노래라도 부르는데
누가 깰까 싶어 작게 부르네
해가 뜨기 전에
뭐라도 해야 할 것 같은데
아무 것도 할 수가 없는
바보 같은 나의 새벽활동
반짝이는 사람이 되고 싶었는데
하늘의 많은 별을 보고 맘을 접었네
따뜻한 사람이 되고 싶었는데
차가운 새벽 공기에
몸이 얼어버렸네
해가 뜨기 전에
뭐라도 돼야 할 것 같은데
아무 것도 할 수가 없는
답답한 나의 새벽활동
나의 하루하루가 늘 새벽활동"
힐링,그런 날 (Feat. 김호연 of 달 좋은 밤),"밤하늘 그 아래 모두가 잠든 시간
고요한 도시에 내 마음 숨겼던 날
어른이 된 것 같았던 낮
아이가 돼버리는 밤
지나는 바람도 내리는 소나기도
하나둘 모든 게 너로 다 이어지던 날
길을 걷다가 무심코 또
하늘을 올려보는 날
그날 그 밤 그 달빛 아래서
두 손으로 내가 나를 달래고
다 사라질 거야 모두 지나갈 거야
따스하게 잠든 어느 날처럼
그날 그 밤 그 별빛 아래서
추운 마음까지 다 이불 덮은 날
누구든지 그냥 안아줬으면 해
스쳐가는 그런 날
서랍 속 오래된 편지를 꺼내보다
눌러 쓴 글 속에 내 모습 발견한 날
시간이 멈추면 좋겠다고 생각해
혹시 네 맘도 그렇지 않니
그날 그 밤 그 달빛 아래서
두 손으로 내가 나를 달래고
다 사라질 거야 모두 지나갈거야
따스하게 잠든 어느 날처럼
그날 그 밤 그 별빛 아래서
추운 마음까지 다 이불 덮은 나를
누구든지 그냥 안아줬으면 해
스쳐가는 그런 날 그런 밤
그런 나 또 그런"
힐링,하루,"쏟아지는 햇살
그 빛을 피해 한참을
뒤척거리다가
한숨을 내쉬고
부스스 일어나
힘겨웁게 물 한 모금
시간은 벌써 저만치
흘러가 있었다고
항상 잦은 변명과
슬픈 위로들로
수없이 많은 날을 밀어내고
밀어낸대도 다시
끝이 없는 하루 속에
울리는 시곗소리
잡을 수도 되돌릴 수도
없단 걸 나도
잘 알고 있지만
그렇게 울컥해버렸지
내 오늘을 보며
아무 흔적도 기억도 없던
항상 잦은 변명과
슬픈 위로들로
수없이 많은 날을 밀어내고
밀어낸대도 다시
끝없이 펼쳐지는
하루들 속에
지쳐가는 내 젊은 날
쏟아지는 햇살
그 빛을 피해 한참을
뒤척거리다가"
힐링,계란꽃,"넌 내가 왜 좋아 그 이유를 말해줘
허름한 흙바닥 수줍게 피어있어도
소박하지만 씩씩한 기특한 니가 좋아
넌 계란꽃이 왜 좋아
그 이유를 말해줘
햇노랑 미소로 위로해주는
늘 웃어 주는 니가
반겨주는 니가 좋아
라리라라라 라리라라라 꽃반지에다
라리라라라 라리라라라라
우릴 엮어 갈래
넌 계란꽃이 왜 좋아
그 이유를 말해줘
햇노랑 미소로 위로해주는
늘 웃어 주는 니가
반겨주는 니가 좋아
라리라라라 라리라라라 꽃반지에다
라리라라라 라리라라라라
우릴 엮어 갈래
넌 내가 왜 좋아 그 이유를 말해줘"
힐링,대충해요,"당신을 보느라
당신 눈치 보느라
조금 지친것 같아요
힘을 좀 빼볼게요
자연스럽게 둘게요
대충해요 이제
좀 쉬었다가 해요
이젠 나를 좀
배려할 시간이에요
내가 변했다고
말해도 괜찮아요
그게 나에요
우리 이제 좀 대충해요
당신을 살피다
당신 배려하느라
조금 지친것 같아요
나를 좀 살필게요
좀 시간을 가질게요
대충해요 이제
좀 쉬었다가 해요
이젠 나를 좀
배려할 시간이에요
내가 변했다고
말해도 괜찮아요
그게 나에요
우리 이제 좀 대충해요
대충해요 이제
좀 쉬었다가 해요
이젠 나를 좀
토닥일 시간이에요
내가 변했다고
말해도 괜찮아요
이게 나에요 
우리 이제 좀 대충해요
상처받지 마요
나도 안 받을게요
우리 좀 놔둘까요
이제 좀 쉬어가요"
힐링,좋은 날,"아침이면 바다향 나는
길을 달려가는 등굣길
쭉 뻗은 길 말고 굽이굽이
돌아가는 길
날 데려다주던
아무 말없이 창문을 내려
풍경을 바라보면
아빠는 조용히 음악을 트네
좋은 날 좋은 날
그날이 올 거야
좋은 날 좋은 날
그날이 올 거야
저녁이면 고기를 서걱 썰어
김치찌개를 만들어 주고
아빠의 국그릇 고기 보다
내 고기가 더 많은 저녁상
어린 동생 우리 강아지
모두 작은 식탁에 모여
행복했던 날
좋은 날 좋은 날
그날이 올 거야
좋은 날 좋은 날
그날이 올 거야"
힐링,어른,"고단한 하루 끝에 떨구는 눈물
난 어디를 향해 가는 걸까
아플 만큼 아팠다 생각했는데
아직도 한참 남은 건가 봐
이 넓은 세상에 혼자인 것처럼
아무도 내 맘을 보려 하지 않고
아무도
눈을 감아 보면
내게 보이는 내 모습
지치지 말고
잠시 멈추라고
갤 것 같지 않던
짙은 나의 어둠은
나를 버리면
모두 갤 거라고
웃는 사람들 틈에 이방인처럼
혼자만 모든 걸 잃은 표정
정신 없이 한참을 뛰었던 걸까
이제는 너무 멀어진 꿈들
이 오랜 슬픔이 그치기는 할까
언제가 한 번쯤
따스한 햇살이 내릴까
나는 내가 되고
별은 영원히 빛나고
잠들지 않는
꿈을 꾸고 있어
바보 같은 나는
내가 될 수 없단 걸
눈을 뜨고야
그걸 알게 됐죠
나는 내가 되고
별은 영원히 빛나고
잠들지 않는
꿈을 꾸고 있어
바보 같은 나는
내가 될 수 없단 걸
눈을 뜨고야
그걸 알게 됐죠
어떤 날 어떤 시간 어떤 곳에서
나의 작은 세상은 웃어줄까"
힐링,사는게 그렇지 뭐,"유난히도 무던한 내 삶
특별한 건 없어도 살만은 해
아픈 날도 있겠지 만은
거친 파도도 바다의 일부야
행복해지는데 별 방법 있겠어
그저 오늘 하루를 바삐 살다 보면
웃을 일 있겠지 물론 힘든 날도
있겠지만 내일은 또 올 테니까
내일은 또
무슨 일이 있을지 나도 몰라
그래서 두렵고 때론 설레어
좋은 일이 있어야 웃어지는 것 보단
웃다 보니 사는 게 조금 낫더라
난 그렇게 살래
행복해지는데 별 방법 있겠어
그저 오늘 하루를 바삐 살다 보면
웃을 일 있겠지 물론 힘든 날도
있겠지만 내일은 또 올 테니까
내일은 또
무슨 일이 있을지 나도 몰라
그래서 두렵고 때론 설레어
좋은 일이 있어야 웃어지는 것 보단
웃다 보니 사는 게 조금 낫더라
난 그렇게 살래
하루 또 하루 지나갈수록
얹어질 삶의 무게
뭐 별수 있겠어 웃어 보자구
내일은 다를지도
내일은 또
무슨 일이 있을지 나도 몰라
그래서 두렵고 때론 설레어
좋은 일이 있어야 웃어지는 것 보단
웃다 보니 사는 게 조금 낫더라
난 그렇게 살래"
힐링,잘 될 거예요,"그대 얼굴에 대놓고
나 힘들다고
써져 있지는 않아요
모르겠어요
그냥 그댈 보면
안아주고 싶어요
누구나 세상을 살다
셀 수 없이
많은 기회를 놓치죠
괜찮아요
자신을 믿어 봐요
잘 할 수 있을 거에요
때론 깊은 맘이
가시가 되어
되려 나를 찔러 와요
또 새로운 약을 찾아 헤매죠
산다는 게 때론 그런 거죠
괜찮아요
다 잘 될 거예요
괜찮아요
다 잘 될 거예요
그댈 처음 본 그 순간부터
내 머릿속을 맴돌았죠
지금도 난 그대 번호를 누르고
망설이고 있어요
때론 이뤄왔던
그 모든 것이
무너지는 것 같아요
그대 믿는다면 그 소중함은
늘 그대 곁에 머물 거에요
괜찮아요
다 잘 될 거예요
괜찮아요
다 잘 될 거예요
지쳤다면
오늘 좀 지쳤다면
아무 걱정 말고 푹 잘 자요
말 해준다면 내가 알아줄게요
다 잘 될 거예요
지쳤다면
오늘 좀 지쳤다면
아무 걱정 말고 푹 잘 자요
말 해준다면 내가 알아줄게요
다 잘 될 거예요
다 잘 될 거예요
다 잘 될 거예요
다 잘 될 거예요
다 잘 될 거예요"
힐링,길을 걸으면,"길을 걸으면 언제나
나를 누르던 모든 일들
불어오는 바람에 날려버리네
뒤돌아보면 언제나
고집스럽게 걸어왔네
고집스럽게 걸어왔네
많은 것들을
놓치지 않으리라고
생각했지만
어쩔 수 없이
인정하게 되는 것들이
그런 것들이 생겨나
많은 것들을
놓치지 않으리라고
생각했지만
어쩔 수 없이
인정하게 되는 것들이
그런 것들이 생겨나
인정하는 것
그런 것들이 생겨나
인정하는 것
그런 것들이 생겨나"
힐링,내일,"언제나 그랬듯이
반복된 하루 속에
혼자 울던 오늘의 난
어두운 방 안에서
내 작은 몸을 웅크린다
내 맘에 오래도록
지키고 싶었던 건
조그만 꿈을 가지고 
버티며 사는 삶들
오늘보다 조금 더
나은 내일이 올 거란
작은 희망에 기대어 
나는 잠든다
그렇게 지나가는
수많은 사람들의
수많은 눈초리들
난 무작정 떠날 거야
저 수평선 너머로
혼자만의 곳으로
내 맘에 오래도록
지키고 싶었던 건
조그만 꿈을 가지고 
버티며 사는 삶들
오늘보다 조금 더
나은 내일이 올 거란
작은 희망에 기대어 
나는 잠든다
홀로 남겨진 
이 어둠 속에서
내일의 빛을 
난 기다리며 살아간다
내 맘에 오래도록
지키고 싶었던 건
조그만 꿈을 가지고 
버티며 사는 삶들
오늘보다 조금 더
나은 내일이 올 거란
작은 희망에 기대어 
나는 잠든다"
힐링,블루진,"바다 끝없이 
푸른 빛을 향해 달리네
모든걸 잊은 채로
파도 속에선 
무거웠던 맘이 씻겨져
몸을 맡겨도 좋은걸
발끝에 느껴지는 작은 자유들 
내 이름을 부르는 
너의 목소리를 사랑해 
숨가쁘게 스치는 
상처들과 마주한 순간 
순간들속에도 
아이처럼 춤추는 
자유로운 너의 오늘을
기억해
멀리 엔진을 켜둔 
차너머로 들려온
익숙한 노래소리 
파란 하늘에 
닿을 것만 같이 달리는
눈부신 너만의 블루진
헝클어진 머리칼 바람을 맞으며 
마음껏 흐트러진 
너의 웃음소릴 사랑해
숨가쁘게 스치는 
상처들과 마주한 순간 
순간들 속에도 
아이처럼 춤추는 
자유로운 너의 오늘을
기억해
숨가쁘게 스치는 
상처들과 마주한 순간 
순간들 속에도 
아이처럼 춤추는 
자유로운 너의 오늘을
기억해
하루하루 지치는 
현실들과 마주한 순간
순간들 속에도 
슬프도록 환하게 
달려가던 너의 오늘을 
기억해"
힐링,혼자,"텅 빈 방안에 누워 아침을 맞으며 
눈을 떴을 때 난 무엇을 느낄까 
아무도 채우지 못하는 공간에 
난 무엇을 채워 넣으려는 걸까
한치 앞이 보이질 않아 
내가 어디로 걷는질 몰라
나의 옆에 누가 있다면 
날 좀 잡아줘 나를 안아줘
차가운 바람보다 더 아득해 오는 건
나를 찔러오는 외로움의 바람
나도 아직 모르는 나의 마음 생각 
처음부터 없다면 모든 게 멈출 텐데
한치 앞이 보이질 않아 
내가 어디로 걷는질 몰라
나의 옆에 누가 있다면 
날 좀 잡아줘 나를 안아줘
우우우우우
우우우우우
나의 옆에 누가 있다면
날 좀 잡아줘 나를 안아줘
텅 빈 방안에 누워 아침을 맞으며 
눈을 떴을 때 난 무엇을 느낄까"
힐링,I GO,"Hello
내 잠긴 맘속 
나와 내 눈을 맞춰
Wake up 나를 불러보곤 해
Hang off
나 오늘 잠시 
Day off
다 모른 척 할게
그만 내 귀를 닫은 채
아슬한 척
자유롭게
Umm so I
Go I go I
Go I go by go now
Go I go by all by
I will go away I go
Clean up
내 남긴 모든 것
내가 날 묶었던 날들
Switch off
나 눈을 감고
아슬한 척
자유롭게
Umm so I
Go I go I
Go I go by go now
Go I go by all by
I will go away I go
의미 없는 연속들 또 난
혼자 굳이 애써왔던 것뿐
더는 날 붙잡지 마 
나는 어디로든지 갈 수 있어
Umm so I
Go I go I
Go I go by go now
Go I go by all by
I will go umm wherever
Bye now"
힐링,그냥 거기에 있어요,"내 마음이 조급할 때
모두 날 앞서가는 것 같을 때
모든 것들이 다 사라지는 것 같을 때
특히 아무 일 없을 때
무언가 꼭 해야 할 것 같을 때
여전히 사라지지 않는
이 불안한 마음
당신은 당신 그대로 있으세요
변한 건 아무것도 없는걸요
더 잘하려거나 조급해 마요
있는 그대로 그냥 두세요
당신은 여전히 아름다워요
그들도 아름답지만
그건 다른 문제예요
당신이어서 할 수 있는 건
그 누구도 따라 하지 못해요
그냥 거기에 있어요
유독 우울했던 날
내 삶에 어떤 기대도 없던 날
사람들 속에서 외로웠던 그 날에
다들 어떻게 사는지
나는 잘살고 있는 건지
창에 비친 내 모습 초라해 보일 때
당신은 당신 그대로 있으세요
변한 건 아무것도 없는걸요
더 잘하려거나 조급해 마요
있는 그대로 그냥 두세요
당신은 여전히 아름다워요
그들도 아름답지만
그건 다른 문제예요
당신이어서 할 수 있는 건
그 누구도 따라 하지 못해요
그냥 거기에 있어요
거기에 있어요
거기에 있어요
거기에 있어요
거기에 있어요
거기에 있어요
거기에 있어요
거기에 있어요"
힐링,응원,"사람들 틈에서 외롭지 않고
잿빛도시가 익숙해져요
열평 남짓 나의 집이 아늑한 걸요
한번쯤 멋지게 살고팠는데
이제는 많이 지치나봐요
괜찮다고 말하는게 편안해져요
누구나 알고 있듯이
누구나 그렇게 살듯이
나에게도 아주
멋진 날개가 있다는 걸 압니다
당당하게 살거라
어머니의 말씀대로
그때처럼 억지처럼
축쳐진 어깨를 펴봅니다 
세상을 바꾸겠다며
집을 나섰던 아이는
내가 아니지만 그래도 힘을 내자
누구나 알고 있듯이
모두가 그렇게 살듯이
나에게도 아주
멋진 날개가 있다는 걸 압니다
당당하게 살거라
어머니의 말씀대로
그때처럼 억지처럼
축 쳐진 어깨를 펴봅니다"
힐링,외로움을 말하는 방법,"좋은 말과는 달리 턱 끝에 멈춰
나오지 않는 말이 있어
힘들어 안아주세요 한마디가
내 속에 머물러 있기만 해
가까울수록 더 깜깜하고
알아도 모른 척 때론 지나가고
괜찮다 생각할 때 내게 찾아와
기다렸다는 듯이 밀려온다
외로움 앞에 외로움이
서운한 감정에 미운 마음을
어떻게 말할까
외로움을 말하는 방법
꾹꾹 담아왔던 마음을
좋은 말과는 달리 턱 끝에 멈춰
나오지 않는 말이 있어
힘들어 안아주세요 한마디가
내 속에 머물러 있기만 해
다가갈수록 더 멀어지고
알아도 모른 척 때론 지나가고
괜찮다 생각할 때 내게 찾아와
기다렸다는 듯이 밀려온다
외로움 앞에 외로움이
서운한 감정에 미운 마음을
어떻게 말할까
외로움을 말하는 방법
꾹꾹 담아왔던 마음을
어떻게 말할까 나의 마음을 너에게
혼자 숨겨왔던 마음을"
힐링,Way,"모두가 다 그래 
머리는 가능해 
행동까진 전부 
다 다 다 no way 
그러면 다 그래 
그래 다음 기회에 
기약 없이 다시 
흐트러지네 
이제 다시 내 방향을 
고정할 꺼야 
결국에 난 그곳에 
도착할거야 
Only for only for long 
Only for only for long 
Only for only for so 
Long enough to go 
Only for only for long 
Only for only for long 
Only for only for so 
Long enough to go 
전부 잊기로 했지 
다시 가기로 했으니 
과거의 나는 거기 
그냥 거기에 놔둬 
현재 기분은 있지 
거의 다 온 것 같지 
사실 여전히 아직 
내 앞은 희미하지 
이제 다시 내 방향을 
고정할 꺼야 
결국에 난 그곳에 
도착할거야
Only for only for long 
Only for only for long 
Only for only for so 
Long enough to go 
Only for only for long 
Only for only for long 
Only for only for so 
Long enough to go 
Long enough to go 
Feel the tide and wave 
I don’t need to wait no longer 
Baby 
Long enough to go 
Feel the tide and wave 
I don’t need to wait no longer 
Baby 
Long enough to go 
Feel the tide and wave 
I don’t need to wait no longer 
Baby 
Long enough to go 
Feel the tide and wave 
I don’t need to wait no longer 
Baby 
Long enough to go"
힐링,어른,"열 살 남짓 어린아이도
이미 다 큰 어른마저도
각자들의 얘기가 있었고
힘들어 외로울 수 있지
네 맘 알아 주지 않아도
눈을 감고 생각해봐요
예전 힘든 일들도 결국 다 괜찮죠
달이 지고 해가 뜨듯이
여름 지나 가을 되듯이
오늘 지나 시간 흐른 만큼
그만큼 괜찮아지죠
너가 그렇지라는 말들도
나를 무시하던 사람도
부질없이 노력해봐도
결국엔 다 의미 없지
바보처럼 울던 시절도
사랑하는 사람 떠나도
매듭이 풀리지 않아도
언젠간 헐거울 수 있지
바보처럼 울던 시절도
사랑하는 사람 떠나도
매듭이 풀리지 않아도
언젠간 헐거워 지겠지
어떤 일이 앞에 놓여도
그냥 그렇게 지나"
힐링,"수고했어, 오늘도","세상 사람들 모두
정답을 알긴 할까
힘든 일은
왜 한번에 일어날까
나에게 실망한 하루
눈물이 보이기 싫어
의미 없이
밤 하늘만 바라봐
작게 열어둔
문틈 사이로
슬픔 보다 더 큰
외로움이 다가와 더 날
수고했어 오늘도
아무도 너의 슬픔에
관심 없대도
난 늘 응원해
수고했어 오늘도

빛이 있다고
분명 있다고
믿었던 길마저
흐릿해져 점점 더 날
수고했어 오늘도
아무도 너의 슬픔에
관심 없대도
난 늘 응원해
수고했어 수고했어
수고했어 오늘도

수고했어 오늘도
아무도 너의 슬픔에
관심 없대도
난 늘 응원해
수고했어 오늘도"
힐링,위로,"오늘도 난 멍하니 멈춰서
이렇게 하루를 보내겠죠
또 나에게 모질게 말하죠
그게 더 마음은 편할 테니
또 누군간 이런 날 위로하려 하겠죠
또 이렇게 누구에게 위로를 받았어요
내 하루를 내 하루를
내 하루를 내 하루를
뒤척이다 멍하니 누워서
이 밤을 바라보고 있겠죠
이런저런 생각에 빠져서
이 밤을 헤엄치고 있겠죠
또 누군간 이런 날 안아주려 하겠죠
또 이렇게 누구에게 위로를 받았어요
내 하루를 내 하루를
내 하루를 내 하루를
이렇게 다 이렇게 다
괜찮은 척 하겠죠 새벽도 멍들죠
새까만 밤이겠죠
또 오겠죠 아침은 그렇게 가겠죠
원래 다 그렇겠죠"
힐링,Slow Starter,"다 그랬어 다 뭐든지 늦었어 
뭐든 빨리 깨닫지 못했던 나
너의 소중함들도 내게 온 
그 기회들도 그땐 바보처럼
앞서가던 그 친구들의 
뒷모습은 내게 거대한 그늘로 
애써 따라가려던 버거웠던 
그 몸부림 속에 
나도 모르게 좁혀지던 그 거리는
난 아니라고 타고 난 게 없다고 
가진 게 없는 나라고 매일 부르던 노래
너무 부족하다고 매일 메꾸려 했던 
그 팔에 흐르던 땀은 
증발하지 않아 차곡차곡 
내 빈틈에 이야기들로 차 난 이제서야
두려웠어 뭐든 안 될 때 
이것저것 핑계 만을 떠올릴 때
나를 바라보는 눈 
남의 눈에 나를 맞추려던 
길었던 날들 거쳐야 했던 그 날들 
난 아니라고 타고 난 게 없다고 
가진 게 없는 나라고 매일 부르던 노래
너무 부족하다고 매일 메꾸려 했던 
그 팔에 흐르던 땀은 
증발하지 않아 차곡차곡 
내 빈틈에 이야기들로 차 난 이제서야
좁은 가슴들이 던졌던 
그 원망들과 쉬웠던 외면 
다행히도 늦지 않아서
포기하지마 아프면 아픈 얘기 
그 모든 순간순간 나만의 이야기야
멈추려 하지 마 
분명 날아오를 기회가 와 좀 늦더라도 
내 눈가의 주름 깊은 곳엔 뭐가 담길지
궁금하지 않니 답은 조금 미룬 채 
지금은 조금 더 부딪혀봐"
