"aa","Freq"
"198","그리",61
"199","도록",61
"200","돌아오",61
"201","때문",61
"202","바라",61
"203","아주",61
"204","얼굴",61
"205","영원히",61
"206","back",60
"207","It",60
"208","Love",60
"209","OH",60
"210","Yeah",60
"211","그렇",60
"212","아라",60
"213","가지",59
"214","ㄹ지",59
"215","잠들",59
"216","내리",58
"217","뜨겁",58
"218","머리",58
"219","미안하",58
"220","제발",58
"221","좋아하",58
"222","햇살",58
"223","on",57
"224","wanna",57
"225","가득",57
"226","변하",57
"227","언젠가",57
"228","so",56
"229","나르",56
"230","네요",56
"231","입술",56
"232","향기",56
"233","Boy",55
"234","re",55
"235","Tell",55
"236","woo",55
"237","말하",55
"238","지치",55
"239","night",54
"240","ㄴ가요",54
"241","어느새",54
"242","어제",54
"243","이미",54
"244","그저",53
"245","너무나",52
"246","ㄹ게요",52
"247","마지막",52
"248","차갑",52
"249","Hey",51
"250","of",51
"251","only",51
"252","눈부시",51
"253","만들",51
"254","상처",51
"255","이름",51
"256","똑같",50
"257","라면",50
"258","스치",50
"259","아야",50
"260","아침",50
"261","이란",50
"262","are",49
"263","느낌",49
"264","살아가",49
"265","이러",49
"266","bi",48
"267","눈빛",48
"268","사이",48
"269","얼마나",48
"270","잠시",48
"271","good",47
"272","가까이",47
"273","달리",47
"274","떨리",47
"275","맞추",47
"276","밖에",47
"277","상상",47
"278","외롭",47
"279","위로",47
"280","으며",47
"281","자리",47
"282","라는",46
"283","빛나",46
"284","한번",46
"285","행복",46
"286","향하",46
"287","시원",45
"288","이대로",45
"289","이상",45
"290","찾아오",45
"291","헤어지",45
"292","away",44
"293","boy",44
"294","Just",44
"295","Push",44
"296","SUMMER",44
"297","따뜻",44
"298","바로",44
"299","아무것",44
"300","이것",44
"301","인생",44
"302","전부",44
"303","don",43
"304","걱정",43
"305","혹시",43
"306","bye",42
"307","yeah",42
"308","당신",42
"309","어깨",42
"310","종일",42
"311","해지",42
"312","높이",41
"313","비추",41
"314","Doo",40
"315","is",40
"316","tonight",40
"317","Touch",40
"318","we",40
"319","놓치",40
"320","멋지",40
"321","사라지",40
"322","사실",40
"323","남기",39
"324","다르",39
"325","돌아가",39
"326","ㄹ까요",39
"327","이나",39
"328","이리",39
"329","이유",39
"330","Gimme",38
"331","now",38
"332","계속",38
"333","그래서",38
"334","그립",38
"335","ㄴ다는",38
"336","날아가",38
"337","는걸",38
"338","떠나가",38
"339","밤새",38
"340","설레",38
"341","수많",38
"342","숨기",38
"343","조차",38
"344","그날",37
"345","마다",37
"346","먼저",37
"347","생각나",37
"348","스럽",37
"349","어느",37
"350","어른",37
"351","summer",36
"352","따르",36
"353","목소리",36
"354","어리",36
"355","어쩌면",36
"356","에요",36
"357","이서",36
"358","커지",36
"359","하얗",36
"360","구름",35
"361","바래",35
"362","새벽",35
"363","어쩌",35
"364","점점",35
"365","취하",35
"366","rock",34
"367","tell",34
"368","want",34
"369","고서",34
"370","내가",34
"371","대로",34
"372","머물",34
"373","슬픔",34
"374","do",33
"375","Go",33
"376","life",33
"377","그대로",33
"378","들리",33
"379","듯이",33
"380","리라",33
"381","마저",33
"382","무슨",33
"383","표정",33
"384","Bubble",32
"385","Girl",32
"386","Lay",32
"387","let",32
"388","make",32
"389","need",32
"390","마치",32
"391","버린",32
"392","안기",32
"393","오래",32
"394","운명",32
"395","파란",32
"396","about",31
"397","dance",31
"398","light",31
"399","거기",31
"400","거짓말",31
"401","고프",31
"402","떨어지",31
"403","소리치",31
"404","영원",31
"405","영원하",31
"406","으니까",31
"407","이해하",31
"408","body",30
"409","call",30
"410","one",30
"411","걸음",30
"412","나누",30
"413","남아",30
"414","내맘",30
"415","몰래",30
"416","아끼",30
"417","어색",30
"418","울라",30
"419","지르",30
"420","지친",30
"421","태어나",30
"422","필요하",30
"423","Ah",29
"424","Ba",29
"425","got",29
"426","ll",29
"427","가진",29
"428","깊이",29
"429","도시",29
"430","망설이",29
"431","수도",29
"432","시작하",29
"433","심장",29
"434","연인",29
"435","웃음",29
"436","자신",29
"437","전화",29
"438","천천히",29
"439","feel",28
"440","그러",28
"441","그리움",28
"442","꺼내",28
"443","떠오르",28
"444","사진",28
"445","안녕",28
"446","약속",28
"447","어렵",28
"448","쵸콜렛",28
"449","ai",27
"450","Black",27
"451","can",27
"452","no",27
"453","가장",27
"454","고맙",27
"455","까맣",27
"456","답답",27
"457","마주치",27
"458","반하",27
"459","별빛",27
"460","아무리",27
"461","야야",27
"462","이기",27
"463","절대",27
"464","챔피언",27
"465","All",26
"466","banana",26
"467","falling",26
"468","Hello",26
"469","over",26
"470","what",26
"471","Woo",26
"472","고래",26
"473","꿈꾸",26
"474","날들",26
"475","놀라",26
"476","마벨",26
"477","물들",26
"478","바닷가",26
"479","새롭",26
"480","약속하",26
"481","었었",26
"482","채우",26
"483","day",25
"484","hot",25
"485","pop",25
"486","Say",25
"487","돌아다니",25
"488","돌아보",25
"489","돌아서",25
"490","불어오",25
"491","솔직히",25
"492","쏟아지",25
"493","아이",25
"494","우우우",25
"495","우우우우",25
"496","의미",25
"497","이예",25
"498","흔들리",25
"499","흘러가",25
"500","baba",24
"501","by",24
"502","du",24
"503","la",24
"504","shu",24
"505","will",24
"506","wuh",24
"507","감추",24
"508","그곳",24
"509","그만",24
"510","끝나",24
"511","동안",24
"512","모래",24
"513","붙잡",24
"514","빙수",24
"515","선물",24
"516","소중",24
"517","오오",24
"518","완벽하",24
"519","이야기",24
"520","필요",24
"521","후회",24
"522","..",23
"523","겨울",23
"524","기다림",23
"525","더라도",23
"526","때로",23
"527","부서지",23
"528","불안하",23
"529","수만",23
"530","을래",23
"531","인걸",23
"532","차라리",23
"533","하하",23
"534","후회하",23
"535","Everyday",22
"536","감싸",22
"537","꽃잎",22
"538","너랑",22
"539","다가가",22
"540","막히",22
"541","바쁘",22
"542","반기",22
"543","영화",22
"544","음악",22
"545","충분",22
"546","터지",22
"547","BABY",21
"548","fly",21
"549","heart",21
"550","help",21
"551","moon",21
"552","ooh",21
"553","think",21
"554","Time",21
"555","Your",21
"556","견디",21
"557","궁금",21
"558","ㄹ께",21
"559","맘속",21
"560","반짝이",21
"561","부드럽",21
"562","빨리",21
"563","아픔",21
"564","얘기하",21
"565","엉덩이",21
"566","여전히",21
"567","여행",21
"568","왠지",21
"569","외로움",21
"570","유난히",21
"571","으니",21
"572","이래",21
"573","이쁘",21
"574","이제야",21
"575","준비",21
"576","지내",21
"577","지키",21
"578","커피",21
"579","편하",21
"580","한마디",21
"581","And",20
"582","Bae",20
"583","Everybody",20
"584","forever",20
"585","just",20
"586","Me",20
"587","Only",20
"588","So",20
"589","달라",20
"590","달려가",20
"591","려고",20
"592","문득",20
"593","미련",20
"594","빠르",20
"595","새기",20
"596","속이",20
"597","손길",20
"598","신나",20
"599","우산",20
"600","지켜",20
"601","all",19
"602","BAAM",19
"603","Come",19
"604","found",19
"605","Never",19
"606","take",19
"607","We",19
"608","귓가",19
"609","나팔",19
"610","두근거리",19
"611","두려워",19
"612","들려오",19
"613","따스",19
"614","랄랄랄라",19
"615","비치",19
"616","시작",19
"617","아파하",19
"618","얼음",19
"619","오랜",19
"620","움직이",19
"621","일어나",19
"622","잊히",19
"623","잠깐",19
"624","즐겁",19
"625","짜릿",19
"626","카모마일",19
"627","투명하",19
"628","HOT",18
"629","Mine",18
"630","ya",18
"631","가볍",18
"632","결국",18
"633","고개",18
"634","고백",18
"635","꿈속",18
"636","던지",18
"637","두근대",18
"638","두렵",18
"639","든지",18
"640","들뜨",18
"641","마시",18
"642","ㅂ니다",18
"643","벌써",18
"644","시절",18
"645","아냐",18
"646","아무런",18
"647","어둠",18
"648","어떠하",18
"649","언제쯤",18
"650","요즘",18
"651","인사",18
"652","즐기",18
"653","진심",18
"654","편지",18
"655","해변",18
"656","해보",18
"657","Back",17
"658","Be",17
"659","Beautiful",17
"660","Cause",17
"661","Dance",17
"662","Don",17
"663","In",17
"664","mind",17
"665","out",17
"666","say",17
"667","Somebody",17
"668","yo",17
"669","계절",17
"670","그리하",17
"671","그치",17
"672","나요",17
"673","누군가",17
"674","눈치",17
"675","랄랄라",17
"676","미래",17
"677","살며시",17
"678","설레임",17
"679","속삭이",17
"680","시리",17
"681","애써",17
"682","어둡",17
"683","어울리",17
"684","에너지",17
"685","온통",17
"686","우우",17
"687","울리",17
"688","을지",17
"689","이다",17
"690","이상하",17
"691","지루",17
"692","진짜",17
"693","창가",17
"694","천국",17
"695","천사",17
"696","특별하",17
"697","한숨",17
"698","한잔하",17
"699","홀로",17
"700","환하",17
"701","again",16
"702","But",16
"703","For",16
"704","give",16
"705","lover",16
"706","maybe",16
"707","ROUND",16
"708","Swear",16
"709","this",16
"710","가슴속",16
"711","거울",16
"712","공기",16
"713","그리고",16
"714","ㄴ단",16
"715","넘어지",16
"716","다리",16
"717","ㄹ수록",16
"718","라라",16
"719","마음속",16
"720","마주",16
"721","모이",16
"722","버릴",16
"723","별이",16
"724","불면",16
"725","수고하",16
"726","쌓이",16
"727","아아",16
"728","어차피",16
"729","예전",16
"730","완전",16
"731","욕심",16
"732","용기",16
"733","잠기",16
"734","저녁",16
"735","정신",16
"736","춤추",16
"737","하루하루",16
"738","한편",16
"739","흘리",16
"740","babe",15
"741","Cool",15
"742","here",15
"743","Honey",15
"744","No",15
"745","real",15
"746","She",15
"747","Song",15
"748","Take",15
"749","there",15
"750","What",15
"751","YOU",15
"752","가득히",15
"753","가르치",15
"754","갑자기",15
"755","구나",15
"756","기도하",15
"757","나인",15
"758","나팔바지",15
"759","남이",15
"760","는다",15
"761","다음",15
"762","대체",15
"763","뒷모습",15
"764","만날",15
"765","바꾸",15
"766","변한",15
"767","서투르",15
"768","수줍",15
"769","에오",15
"770","은걸",15
"771","익숙",15
"772","있니",15
"773","잊어버리",15
"774","자꾸자꾸",15
"775","자유",15
"776","저기",15
"777","한걸음",15
"778","한참",15
"779","훨훨",15
"780","흔적",15
"781","always",14
"782","angel",14
"783","Because",14
"784","city",14
"785","Cream",14
"786","every",14
"787","have",14
"788","Ice",14
"789","if",14
"790","Lady",14
"791","lalala",14
"792","REMEMBER",14
"793","scream",14
"794","star",14
"795","stop",14
"796","together",14
"797","가만히",14
"798","가져가",14
"799","걸어가",14
"800","고민",14
"801","공주",14
"802","기쁨",14
"803","깨우",14
"804","끝내",14
"805","ㄴ걸",14
"806","넘기",14
"807","대도",14
"808","더라",14
"809","돌리",14
"810","되돌리",14
"811","뒤돌",14
"812","떨림",14
"813","마르",14
"814","머릿속",14
"815","모으",14
"816","버티",14
"817","뻔하",14
"818","새하얗",14
"819","생기",14
"820","소중한",14
"821","솔직",14
"822","어쩜",14
"823","역시",14
"824","오랜만",14
"825","용서하",14
"826","인연",14
"827","전화기",14
"828","존재",14
"829","커다랗",14
"830","펼치",14
"831","평생",14
"832","풀리",14
"833","하늘이",14
"834","한잔",14
"835","ba",13
"836","believe",13
"837","check",13
"838","five",13
"839","hey",13
"840","miss",13
"841","nana",13
"842","One",13
"843","party",13
"844","remember",13
"845","right",13
"846","twenty",13
"847","감사하",13
"848","건네",13
"849","관심",13
"850","그림자",13
"851","기쁘",13
"852","까요",13
"853","날개",13
"854","들어오",13
"855","ㄹ걸",13
"856","라라라",13
"857","라서",13
"858","만약",13
"859","멀리서",13
"860","멍하니",13
"861","무겁",13
"862","물결",13
"863","발걸음",13
"864","삶이",13
"865","세월",13
"866","손잡",13
"867","시선",13
"868","시키",13
"869","아무렇",13
"870","어라",13
"871","얼마",13
"872","여름날",13
"873","요리",13
"874","으려",13
"875","이루",13
"876","잃어버리",13
"877","준비하",13
"878","지지",13
"879","콩떡",13
"880","피해",13
"881","힐링",13
"882","ahh",12
"883","breaking",12
"884","darling",12
"885","Feeling",12
"886","hoo",12
"887","HOO",12
"888","name",12
"889","never",12
"890","roll",12
"891","see",12
"892","should",12
"893","Shy",12
"894","when",12
"895","white",12
"896","why",12
"897","YOO",12
"898","가리",12
"899","감정",12
"900","걱정하",12
"901","나란",12
"902","나이",12
"903","농담",12
"904","대신",12
"905","대하",12
"906","데리",12
"907","두근두근",12
"908","드리",12
"909","마냥",12
"910","미워하",12
"911","바라지",12
"912","벚꽃",12
"913","서두르",12
"914","손짓하",12
"915","숨결",12
"916","신경",12
"917","어머",12
"918","어지럽",12
"919","여보세요",12
"920","오르",12
"921","오빠",12
"922","일상",12
"923","조용히",12
"924","찬란",12
"925","피어나",12
"926","희미",12
"927","but",11
"928","cry",11
"929","everything",11
"930","Falling",11
"931","gonna",11
"932","Heart",11
"933","Holiday",11
"934","lady",11
"935","Party",11
"936","promise",11
"937","sea",11
"938","song",11
"939","Tonight",11
"940","UP",11
"941","거란",11
"942","거치",11
"943","걱정되",11
"944","걸리",11
"945","고백하",11
"946","굳이",11
"947","그늘",11
"948","금방",11
"949","끝없이",11
"950","나라",11
"951","나무",11
"952","누나",11
"953","눈가",11
"954","뛰어다니",11
"955","ㄹ께요",11
"956","ㄹ래요",11
"957","롤러코스터",11
"958","메아리",11
"959","무덥",11
"960","무섭",11
"961","무지개",11
"962","믿음",11
"963","바램",11
"964","밤하늘",11
"965","부탁하",11
"966","불고",11
"967","불빛",11
"968","비밀",11
"969","비행기",11
"970","살짝",11
"971","속삭임",11
"972","시계",11
"973","시작되",11
"974","아쉽",11
"975","아이스크림",11
"976","에게서",11
"977","예감",11
"978","오오오",11
"979","우습",11
"980","우울하",11
"981","워어",11
"982","이곳",11
"983","이번",11
"984","전하",11
"985","주문",11
"986","최고",11
"987","칵테일",11
"988","헷갈리",11
"989","현실",11
"990","Bye",10
"991","CHEER",10
"992","Far",10
"993","Here",10
"994","If",10
"995","long",10
"996","man",10
"997","ME",10
"998","much",10
"999","ocean",10
"1000","Papercut",10
"1001","Please",10
"1002","Real",10
"1003","shy",10
"1004","Singing",10
"1005","still",10
"1006","With",10
"1007","WOO",10
"1008","간직하",10
"1009","갇히",10
"1010","갈수록",10
"1011","괜히",10
"1012","그럼",10
"1013","그림",10
"1014","나가",10
"1015","날리",10
"1016","날씨",10
"1017","닫히",10
"1018","담기",10
"1019","더욱",10
"1020","따라오",10
"1021","따리",10
"1022","라며",10
"1023","마나",10
"1024","말투",10
"1025","뭐야",10
"1026","밀려오",10
"1027","밀리",10
"1028","방법",10
"1029","복잡",10
"1030","부끄럽",10
"1031","부족하",10
"1032","비키",10
"1033","빨간",10
"1034","설레이",10
"1035","손끝",10
"1036","숨소리",10
"1037","아무래도",10
"1038","애태우",10
"1039","어찌",10
"1040","올리",10
"1041","워워",10
"1042","이리도",10
"1043","입고",10
"1044","장난",10
"1045","재가",10
"1046","주인공",10
"1047","지난날",10
"1048","찾아가",10
"1049","초라",10
"1050","키스",10
"1051","팝콘",10
"1052","편히",10
"1053","표현하",10
"1054","헤매",10
"1055","흐리",10
"1056","흔하",10
"1057","...",9
"1058","alright",9
"1059","Alright",9
"1060","am",9
"1061","Can",9
"1062","enough",9
"1063","free",9
"1064","lips",9
"1065","listen",9
"1066","Long",9
"1067","ma",9
"1068","Melody",9
"1069","Paradise",9
"1070","Ready",9
"1071","Rock",9
"1072","Roll",9
"1073","Sexy",9
"1074","some",9
"1075","sweet",9
"1076","touch",9
"1077","who",9
"1078","Would",9
"1079","Yo",9
"1080","거나",9
"1081","거려",9
"1082","거지",9
"1083","걷히",9
"1084","고이",9
"1085","괴롭히",9
"1086","그려",9
"1087","그리워하",9
"1088","내밀",9
"1089","냐고",9
"1090","넘치",9
"1091","다니",9
"1092","답하",9
"1093","대충",9
"1094","따라서",9
"1095","때가",9
"1096","또다시",9
"1097","뚜루",9
"1098","마법",9
"1099","만남",9
"1100","말리",9
"1101","맛있",9
"1102","매력",9
"1103","맴돌",9
"1104","멋대로",9
"1105","무너지",9
"1106","번지",9
"1107","벗어나",9
"1108","부럽",9
"1109","부신",9
"1110","비우",9
"1111","살리",9
"1112","상관없",9
"1113","설명하",9
"1114","숨길",9
"1115","슈가",9
"1116","쓸쓸히",9
"1117","아른아른",9
"1118","아아아",9
"1119","아아아아",9
"1120","야이",9
"1121","야지",9
"1122","엄마",9
"1123","웃기",9
"1124","위로하",9
"1125","을까요",9
"1126","응원하",9
"1127","이야",9
"1128","일거",9
"1129","자고",9
"1130","정답",9
"1131","제주도",9
"1132","지고",9
"1133","차리",9
"1134","차마",9
"1135","첫눈",9
"1136","충분히",9
"1137","편이",9
"1138","행여",9
"1139","화끈",9
"1140","힘겹",9
"1141","at",8
"1142","breathe",8
"1143","complete",8
"1144","Dancing",8
"1145","fine",8
"1146","get",8
"1147","Good",8
"1148","gotta",8
"1149","IT",8
"1150","mine",8
"1151","MY",8
"1152","New",8
"1153","not",8
"1154","okay",8
"1155","power",8
"1156","smile",8
"1157","smiley",8
"1158","TONIGHT",8
"1159","Two",8
"1160","wait",8
"1161","way",8
"1162","Ya",8
"1163","가면",8
"1164","감히",8
"1165","건지",8
"1166","귀엽",8
"1167","그래요",8
"1168","근데",8
"1169","기회",8
"1170","깨끗",8
"1171","깨물",8
"1172","ㄴ걸요",8
"1173","날아오르",8
"1174","늑대",8
"1175","다가서",8
"1176","다며",8
"1177","다치",8
"1178","달래",8
"1179","도대체",8
"1180","동서남북",8
"1181","들어가",8
"1182","따위",8
"1183","ㄹ로",8
"1184","레오",8
"1185","만지",8
"1186","말없이",8
"1187","멜로디",8
"1188","며칠",8
"1189","못나",8
"1190","못되",8
"1191","무게",8
"1192","무릎",8
"1193","밀어내",8
"1194","박히",8
"1195","봄바람",8
"1196","분명",8
"1197","분명히",8
"1198","뿌리",8
"1199","사소",8
"1200","삼키",8
"1201","섹시하",8
"1202","속상하",8
"1203","손가락",8
"1204","숟가락",8
"1205","쓰러지",8
"1206","쓰리",8
"1207","쓸쓸",8
"1208","아마",8
"1209","알아보",8
"1210","애타",8
"1211","어디쯤",8
"1212","얼간이",8
"1213","오랫동안",8
"1214","오레오",8
"1215","온몸",8
"1216","우연",8
"1217","우연히",8
"1218","이불",8
"1219","이순",8
"1220","이해",8
"1221","인하",8
"1222","일도",8
"1223","입가",8
"1224","입맞춤",8
"1225","잘못",8
"1226","재미없",8
"1227","전시회장",8
"1228","조그만",8
"1229","주위",8
"1230","지나치",8
"1231","진정",8
"1232","챙기",8
"1233","철없",8
"1234","캄캄",8
"1235","편안하",8
"1236","포기하",8
"1237","한없이",8
"1238","허리",8
"1239","혹시나",8
"1240","희망",8
"1241","Day",7
"1242","Days",7
"1243","everybody",7
"1244","eyes",7
"1245","feeling",7
"1246","Give",7
"1247","happy",7
"1248","hear",7
"1249","hit",7
"1250","lalalala",7
"1251","LOVE",7
"1252","new",7
"1253","Now",7
"1254","Shine",7
"1255","swear",7
"1256","This",7
"1257","To",7
"1258","two",7
"1259","White",7
"1260","Why",7
"1261","world",7
"1262","가깝",7
"1263","가시",7
"1264","거품",7
"1265","걸어오",7
"1266","계곡",7
"1267","고민하",7
"1268","고통",7
"1269","공간",7
"1270","그거",7
"1271","그동안",7
"1272","꺼지",7
"1273","나비",7
"1274","나서",7
"1275","날으",7
"1276","남들",7
"1277","너머",7
"1278","녹이",7
"1279","니까요",7
"1280","대답",7
"1281","대답하",7
"1282","도망가",7
"1283","도망치",7
"1284","뒤돌아서",7
"1285","들어주",7
"1286","따갑",7
"1287","따라가",7
"1288","라라라라라",7
"1289","리듬",7
"1290","맘대로",7
"1291","모래알",7
"1292","몸짓",7
"1293","무얼",7
"1294","미움",7
"1295","미쳐",7
"1296","바캉스",7
"1297","배우",7
"1298","번이",7
"1299","베개",7
"1300","변명",7
"1301","부담",7
"1302","부디",7
"1303","부산",7
"1304","분위기",7
"1305","비웃",7
"1306","빗물",7
"1307","상관",7
"1308","서서히",7
"1309","손뼉",7
"1310","수면",7
"1311","수백",7
"1312","스며들",7
"1313","스무",7
"1314","스미",7
"1315","실컷",7
"1316","아야지",7
"1317","안부",7
"1318","어머니",7
"1319","여리",7
"1320","연락",7
"1321","열애",7
"1322","완전히",7
"1323","왕자",7
"1324","외면하",7
"1325","외치",7
"1326","요새",7
"1327","욕하",7
"1328","으면서",7
"1329","은지",7
"1330","을게요",7
"1331","이별하",7
"1332","일부러",7
"1333","일으키",7
"1334","입안",7
"1335","자격",7
"1336","자기",7
"1337","자유로",7
"1338","자존심",7
"1339","잘못하",7
"1340","저리",7
"1341","조심스레",7
"1342","준비되",7
"1343","지겹",7
"1344","지킬",7
"1345","창문",7
"1346","체온",7
"1347","쳐다보",7
"1348","추억하",7
"1349","타이밍",7
"1350","퍼지",7
"1351","표현",7
"1352","풍경",7
"1353","피고",7
"1354","피우",7
"1355","피하",7
"1356","한날",7
"1357","해내",7
"1358","헤치",7
"1359","훌훌",7
"1360","afraid",6
"1361","ah",6
"1362","alone",6
"1363","Believe",6
"1364","Body",6
"1365","boo",6
"1366","Cry",6
"1367","curious",6
"1368","Cut",6
"1369","Do",6
"1370","dream",6
"1371","em",6
"1372","Everynight",6
"1373","Everytime",6
"1374","Ha",6
"1375","hello",6
"1376","Kick",6
"1377","kiss",6
"1378","Life",6
"1379","Light",6
"1380","louder",6
"1381","na",6
"1382","paradise",6
"1383","Right",6
"1384","saying",6
"1385","SHAKE",6
"1386","Stay",6
"1387","sunshine",6
"1388","That",6
"1389","Three",6
"1390","Up",6
"1391","were",6
"1392","woh",6
"1393","would",6
"1394","YE",6
"1395","Yes",6
"1396","가을",6
"1397","갈거",6
"1398","객석",6
"1399","거닐",6
"1400","거짓",6
"1401","건너",6
"1402","게요",6
"1403","고운",6
"1404","고치",6
"1405","괴롭",6
"1406","그런데",6
"1407","기억나",6
"1408","깨지",6
"1409","나란히",6
"1410","나중",6
"1411","낯설",6
"1412","느라",6
"1413","다짐하",6
"1414","달이",6
"1415","당기",6
"1416","대박",6
"1417","대신하",6
"1418","던거야",6
"1419","두드리",6
"1420","두르",6
"1421","디야",6
"1422","뚜뚜",6
"1423","래도",6
"1424","루루",6
"1425","마주한",6
"1426","마찬가지",6
"1427","말론",6
"1428","맘껏",6
"1429","무디",6
"1430","무심코",6
"1431","문제",6
"1432","바뀌",6
"1433","바치",6
"1434","밝혀주",6
"1435","버스",6
"1436","벅차",6
"1437","베리",6
"1438","보일",6
"1439","비잉",6
"1440","새로",6
"1441","새우",6
"1442","섞이",6
"1443","소나기",6
"1444","소망",6
"1445","소용없",6
"1446","솜사탕",6
"1447","수천",6
"1448","스트로",6
"1449","시련",6
"1450","신발",6
"1451","심하",6
"1452","씩씩",6
"1453","아가씨",6
"1454","아득",6
"1455","아파트",6
"1456","안보",6
"1457","애매",6
"1458","약하",6
"1459","어머나",6
"1460","어야지",6
"1461","에헤",6
"1462","여유",6
"1463","온종일",6
"1464","왼쪽",6
"1465","용감",6
"1466","우와",6
"1467","울적",6
"1468","위잉",6
"1469","위험",6
"1470","이내",6
"1471","자주",6
"1472","잔소리",6
"1473","잘하",6
"1474","잡지",6
"1475","장난치",6
"1476","적어도",6
"1477","전혀",6
"1478","정말로",6
"1479","제대로",6
"1480","제자리",6
"1481","중요하",6
"1482","지도",6
"1483","진하",6
"1484","착하",6
"1485","청춘",6
"1486","초콜릿",6
"1487","카페",6
"1488","타서",6
"1489","태우",6
"1490","평범",6
"1491","핑계",6
"1492","하지",6
"1493","한심",6
"1494","한적",6
"1495","헝클어지",6
"1496","화분",6
"1497","화장",6
"1498","확실",6
"1499","훌쩍",6
"1500","훗날",6
"1501","흐릿",6
"1502","beautiful",5
"1503","bottom",5
"1504","Cake",5
"1505","change",5
"1506","COME",5
"1507","crazy",5
"1508","di",5
"1509","DO",5
"1510","Dream",5
"1511","Edge",5
"1512","emotion",5
"1513","face",5
"1514","Feel",5
"1515","Fill",5
"1516","flavor",5
"1517","friend",5
"1518","gave",5
"1519","ha",5
"1520","Happy",5
"1521","hi",5
"1522","left",5
"1523","little",5
"1524","Loving",5
"1525","LPG",5
"1526","Make",5
"1527","nights",5
"1528","off",5
"1529","ON",5
"1530","please",5
"1531","shine",5
"1532","strange",5
"1533","sun",5
"1534","Sunshine",5
"1535","talk",5
"1536","The",5
"1537","then",5
"1538","three",5
"1539","ugly",5
"1540","waiting",5
"1541","When",5
"1542","without",5
"1543","World",5
"1544","youth",5
"1545","가꾸",5
"1546","가나",5
"1547","가누",5
"1548","가능하",5
"1549","가두",5
"1550","가르",5
"1551","가만두",5
"1552","가야",5
"1553","갈래",5
"1554","고양이",5
"1555","고장",5
"1556","괜하",5
"1557","그린",5
"1558","길이",5
"1559","깜짝",5
"1560","꾸미",5
